,GEOID,true_label
159,51710005902,1.0
160,51800065100,1.0
161,51760071100,1.0
162,51041100817,0.0
163,51041100600,1.0
164,51087201003,1.0
165,51710005701,1.0
166,51740212600,1.0
167,51710005903,1.0
168,51041100922,1.0
169,51700032126,0.0
170,51199050900,1.0
171,51041100818,0.0
172,51740213200,1.0
173,51740210600,1.0
174,51760070802,0.0
175,51770000100,0.0
176,51041100210,0.0
177,51041100933,0.0
178,51550020903,1.0
179,51740980100,1.0
180,51650010314,1.0
181,51087200412,0.0
182,51041100206,0.0
183,51700032001,1.0
184,51740213001,1.0
185,51710000201,1.0
186,51710006200,1.0
187,51800075203,0.0
188,51810040600,1.0
189,51153900502,1.0
190,51650010313,0.0
191,51710000400,0.0
192,51740210300,1.0
193,51700032400,0.0
194,51710004500,0.0
195,51710001600,0.0
196,51700030100,0.0
197,51740210400,0.0
198,51550021403,1.0
199,51700032132,0.0
200,51770002300,0.0
201,51700031300,0.0
202,51087200501,1.0
203,51760020700,1.0
204,51800075701,1.0
205,51087201201,0.0
206,51041100814,1.0
207,51740210900,0.0
208,51590000200,0.0
209,51041100923,1.0
210,51740211600,0.0
211,51149850301,1.0
212,51041100702,1.0
213,51179010305,1.0
214,51041100209,0.0
215,51153901203,0.0
216,51041100815,1.0
217,51810046213,0.0
218,51650010311,0.0
219,51650010304,0.0
220,51670980100,1.0
221,51740212802,0.0
222,51710003100,0.0
223,51810046016,1.0
224,51570830300,0.0
225,51053840400,1.0
226,51570830400,1.0
227,51710005500,1.0
228,51700032130,0.0
229,51041100934,1.0
230,51810046224,0.0
231,51087201001,1.0
232,51087200409,0.0
233,51700031500,1.0
234,51199050303,0.0
235,51087201404,1.0
236,51087200411,0.0
237,51800065300,1.0
238,51700032113,0.0
239,51041101011,1.0
240,51710006800,0.0
241,51590000300,0.0
242,51760041600,0.0
243,51041100823,1.0
244,51550020807,1.0
245,51550021401,0.0
246,51041100510,1.0
247,51760020800,0.0
248,51700032117,0.0
249,51710004400,0.0
250,51740210500,1.0
251,51760070300,0.0
252,51700032211,0.0
253,51700032007,0.0
254,51550020809,0.0
255,51710005702,0.0
256,51800075502,0.0
257,51650011200,0.0
258,51800075501,0.0
259,51700032005,0.0
260,51770002600,1.0
261,51710007002,1.0
262,51710000202,0.0
263,51810046221,1.0
264,51700031901,0.0
265,51710004700,0.0
266,51800075402,1.0
267,51550020100,1.0
268,51087200404,1.0
269,51650010501,0.0
270,51810046211,0.0
271,51770002500,1.0
272,51177020205,1.0
273,51760041400,0.0
274,51153901230,0.0
275,51550021009,1.0
276,51800075401,1.0
277,51153900410,0.0
278,51810042801,1.0
279,51810045408,0.0
280,51700032129,1.0
281,51550020400,1.0
282,51153900408,0.0
283,51650011300,0.0
284,51810045421,0.0
285,51087201401,1.0
286,51550020500,0.0
287,51810046217,0.0
288,51053840500,1.0
289,51650010312,1.0
290,51810045806,1.0
291,51710006604,0.0
292,51810043002,0.0
293,51810046219,1.0
294,51041100910,1.0
295,51179010201,1.0
296,51153901227,0.0
297,51810046216,0.0
298,51087200503,0.0
299,51041100407,0.0
300,51710004300,1.0
301,51700032002,0.0
302,51710005000,0.0
303,51153901303,0.0
304,51710007001,0.0
305,51810045803,0.0
306,51041100812,0.0
307,51041100816,1.0
308,51710004800,0.0
309,51760030200,1.0
310,51700032114,0.0
311,51810040802,0.0
312,51590000400,0.0
313,51710006601,0.0
314,51700031800,0.0
315,51810044805,0.0
316,51650010400,0.0
317,51810045601,0.0
318,51650012100,0.0
319,51099040500,0.0
320,51810044806,0.0
321,51710000800,0.0
322,51810046014,1.0
323,51710000100,0.0
324,51085320602,0.0
325,51149850100,1.0
326,51199050500,1.0
327,51177020113,0.0
328,51810045808,0.0
329,51710006000,1.0
330,51710000500,0.0
331,51650010103,0.0
332,51099040100,0.0
